challenge_id,session_id,theme,started_at,ended_at,word_ids,points,attempts,correct_count,wrong_count,metadata_json
63c6c55e-bb80-407c-8d92-5c0afdaf5fba,matching-20260525132130455-5f995a,sound,2026-05-25T13:23:15.397Z,2026-05-25T13:23:59.527Z,ko-0055|ko-0452|ko-0120|ko-0490|ko-0320|ko-0106|ko-0438|ko-0291|ko-0136|ko-0188,213,12,10,2,"{""limit_attempts"":12,""limit_ms"":45000}"
a8f70e3c-c50e-424a-b32b-7b68547aad3f,matching-20260525132130455-5f995a,sound,2026-05-25T13:24:22.902Z,2026-05-25T13:25:25.801Z,ko-0072|ko-0269|ko-0402|ko-0499|ko-0445|ko-0267|ko-0008|ko-0489|ko-0463|ko-0133|ko-0459,224,11,11,0,"{""limit_attempts"":12,""limit_ms"":45000}"
cfd7c683-edd4-4736-be9a-c6f07336d22c,matching-20260525132130455-5f995a,sound,2026-05-25T13:25:53.645Z,2026-05-25T13:26:33.623Z,ko-0034|ko-0072|ko-0207|ko-0187|ko-0247|ko-0451|ko-0498|ko-0114|ko-0039|ko-0189|ko-0038,264,12,11,1,"{""limit_attempts"":12,""limit_ms"":45000}"
fe80b975-401a-4d60-baf5-af579c80cef7,matching-20260525132130455-5f995a,sound,2026-05-25T13:28:03.376Z,2026-05-25T13:28:50.190Z,ko-0224|ko-0348|ko-0439|ko-0159|ko-0244|ko-0264|ko-0239,121,8,7,1,"{""limit_attempts"":12,""limit_ms"":45000}"
3051bd53-d1f6-4ee6-8c15-7d014efc1740,matching-20260525134105742-d81d5d,writing,2026-05-25T13:42:37.806Z,2026-05-25T13:44:23.047Z,ko-0244|ko-0090|ko-0318|ko-0128|ko-0138,-48,5,2,3,"{""limit_attempts"":10,""limit_ms"":90000}"
676c3c2b-b1fa-4f3c-a33f-7d44dab8c5ef,matching-20260525134105742-d81d5d,sound,2026-05-25T13:45:44.661Z,2026-05-25T13:46:33.953Z,ko-0208|ko-0034|ko-0113|ko-0380|ko-0275|ko-0354|ko-0054|ko-0077|ko-0159|ko-0422,198,11,10,1,"{""limit_attempts"":12,""limit_ms"":45000}"
4ab710fa-6e7b-4ec3-ab1b-118cd2bd018a,matching-20260525134105742-d81d5d,sound,2026-05-25T13:47:28.829Z,2026-05-25T13:48:14.095Z,ko-0243|ko-0365|ko-0311|ko-0210|ko-0407|ko-0260|ko-0339|ko-0249|ko-0012,189,9,9,0,"{""limit_attempts"":12,""limit_ms"":45000}"
55e57a13-6ca2-46c5-b595-c9c334719207,matching-20260525134105742-d81d5d,writing,2026-05-25T13:50:53.259Z,2026-05-25T13:52:30.051Z,ko-0193,6,1,1,0,"{""limit_attempts"":10,""limit_ms"":90000}"
e3232e5a-2069-4190-9a13-9043411b043f,matching-20260525141337079-f9847d,sound,2026-05-25T14:14:39.368Z,2026-05-25T14:15:25.230Z,ko-0406|ko-0396|ko-0049|ko-0314|ko-0242|ko-0226|ko-0322|ko-0027|ko-0323|ko-0074|ko-0235,259,11,11,0,"{""limit_attempts"":12,""limit_ms"":45000}"
a84e63cc-a03d-4b3d-ae8b-5bd2cabc30f2,matching-20260525141337079-f9847d,writing,2026-05-25T14:16:03.183Z,2026-05-25T14:17:33.228Z,ko-0026|ko-0183|ko-0384,-60,3,0,3,"{""limit_attempts"":10,""limit_ms"":90000}"
4036dc9e-1f53-4772-851e-777a03a7132d,matching-20260525142305535-2296d4,sound,2026-05-25T14:28:22.916Z,2026-05-25T14:29:09.538Z,ko-0389|ko-0314|ko-0377|ko-0027|ko-0329|ko-0493|ko-0149|ko-0363|ko-0488|ko-0188|ko-0273,208,11,10,1,"{""limit_attempts"":12,""limit_ms"":45000}"
a203cdd2-a15d-4591-8d92-319f05bcb1f0,matching-20260525152307468-c76ab5,writing,2026-05-25T15:24:54.791Z,2026-05-25T15:25:00.945Z,,0,0,0,0,"{""limit_attempts"":10,""limit_ms"":90000}"
cbc1e46a-e2c1-477d-ba0e-bc128a01361a,matching-20260525201403482-a48479,sound,2026-05-25T20:15:19.713Z,2026-05-25T20:16:06.112Z,ko-0483|ko-0315|ko-0422|ko-0369|ko-0289|ko-0028|ko-0153,144,7,7,0,"{""limit_attempts"":12,""limit_ms"":45000}"
ae0cf42b-8770-4365-8ec3-b3e60424a05f,matching-20260525201403482-a48479,writing,2026-05-25T20:23:40.567Z,2026-05-25T20:25:28.398Z,ko-0017|ko-0418|ko-0291|ko-0022|ko-0055,-48,5,2,3,"{""limit_attempts"":10,""limit_ms"":90000}"
d464b64d-be3d-4f3f-b25d-c8c63eda754d,matching-20260525201403482-a48479,writing,2026-05-25T20:28:45.412Z,2026-05-25T20:30:21.909Z,ko-0426|ko-0395|ko-0167,-60,3,0,3,"{""limit_attempts"":10,""limit_ms"":90000}"
1ab729bd-cdfa-4f33-88fc-42cc307d353d,matching-20260525201403482-a48479,sound,2026-05-25T20:33:20.878Z,2026-05-25T20:34:07.116Z,ko-0485|ko-0392|ko-0062|ko-0324|ko-0248|ko-0272|ko-0357,132,7,7,0,"{""limit_attempts"":12,""limit_ms"":45000}"
4db6dae9-2ffb-45c9-88bf-6315bbaaeb33,matching-20260527050733631-c333dd,sound,2026-05-27T05:07:43.455Z,2026-05-27T05:07:43.965Z,,0,0,0,0,"{""limit_attempts"":12,""limit_ms"":45000}"
cc6129ec-6782-44c6-9cb0-fd7e3938b714,matching-20260527050733631-c333dd,writing,2026-05-27T05:07:45.071Z,2026-05-27T05:07:46.125Z,,0,0,0,0,"{""limit_attempts"":10,""limit_ms"":90000}"
