id,score,attempts,correct_count,wrong_count,avg_response_ms,last_response_ms,last_delta,updated_at
ko-0003,279,1,1,0,1648,1648,29,2026-05-25T14:27:21.386Z
ko-0004,256,1,1,0,22527,22527,6,2026-05-25T13:54:32.347Z
ko-0006,306,2,2,0,2004,2293,27,2026-05-25T15:22:21.318Z
ko-0007,279,1,1,0,1688,1688,29,2026-05-25T14:45:11.276Z
ko-0008,301,2,2,0,2512,5021,17,2026-05-25T13:42:20.850Z
ko-0010,301,2,2,0,2650,3080,24,2026-05-25T20:28:07.048Z
ko-0011,333,3,3,0,2129,1271,31,2026-05-25T20:25:51.507Z
ko-0012,274,1,1,0,2976,2976,24,2026-05-25T13:48:14.090Z
ko-0013,280,1,1,0,1386,1386,30,2026-05-25T20:26:21.352Z
ko-0014,303,2,2,0,2335,2452,26,2026-05-25T20:15:14.048Z
ko-0015,276,2,2,0,8508,4150,20,2026-05-25T20:20:19.853Z
ko-0016,282,1,1,0,843,843,32,2026-05-25T20:23:28.978Z
ko-0017,250,2,1,1,15736,27257,-20,2026-05-25T20:24:07.844Z
ko-0018,230,1,0,1,6383,6383,-20,2026-05-25T14:44:38.497Z
ko-0019,279,2,2,0,6776,10078,6,2026-05-25T20:14:19.141Z
ko-0020,257,1,1,0,7649,7649,7,2026-05-25T20:20:28.165Z
ko-0022,262,2,2,0,10907,12139,6,2026-05-25T20:25:04.906Z
ko-0024,306,2,2,0,2079,1528,30,2026-05-25T20:30:50.994Z
ko-0025,230,1,0,1,9368,9368,-20,2026-05-25T20:20:13.007Z
ko-0026,250,2,1,1,10471,4161,20,2026-05-25T14:45:08.775Z
ko-0027,299,2,2,0,2968,3196,24,2026-05-25T14:28:42.493Z
ko-0028,276,1,1,0,2556,2556,26,2026-05-25T20:16:00.565Z
ko-0029,281,1,1,0,1135,1135,31,2026-05-25T13:21:55.689Z
ko-0030,284,1,1,0,364,364,34,2026-05-25T20:19:58.807Z
ko-0031,276,1,1,0,2549,2549,26,2026-05-25T20:16:37.234Z
ko-0032,274,1,1,0,3205,3205,24,2026-05-25T20:34:16.520Z
ko-0033,230,1,0,1,7164,7164,-20,2026-05-25T20:19:36.038Z
ko-0034,291,3,3,0,6028,8439,6,2026-05-25T20:16:50.162Z
ko-0035,278,1,1,0,2017,2017,28,2026-05-25T13:50:26.851Z
ko-0036,284,1,1,0,1,1,34,2026-05-25T13:50:08.778Z
ko-0037,309,2,2,0,1523,369,34,2026-05-25T20:20:57.642Z
ko-0038,273,1,1,0,3346,3346,23,2026-05-25T13:26:33.618Z
ko-0039,335,3,3,0,1761,1880,28,2026-05-25T13:41:39.148Z
ko-0041,284,1,1,0,320,320,34,2026-05-25T20:23:40.293Z
ko-0042,279,1,1,0,1748,1748,29,2026-05-25T14:16:00.653Z
ko-0046,277,1,1,0,2131,2131,27,2026-05-25T20:21:04.075Z
ko-0048,306,2,2,0,2022,2263,27,2026-05-25T14:25:37.472Z
ko-0049,322,3,3,0,3107,4802,18,2026-05-25T20:27:10.551Z
ko-0050,308,2,2,0,1820,2089,28,2026-05-25T20:22:42.379Z
ko-0051,276,3,2,1,3054,3157,24,2026-05-25T13:45:06.250Z
ko-0052,284,1,1,0,352,352,34,2026-05-25T20:32:15.052Z
ko-0054,283,3,2,1,2099,2378,27,2026-05-25T13:46:17.913Z
ko-0055,329,4,4,0,7973,22820,6,2026-05-25T20:25:28.061Z
ko-0057,281,1,1,0,1202,1202,31,2026-05-25T14:43:35.039Z
ko-0059,302,2,2,0,2568,2330,27,2026-05-25T20:31:41.446Z
